parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21
0,Unit,2024,500.0,716/250 elizabeth street,melbourne,3000,1,1,-37.8125509,144.9627482,206041503,Greater Melbourne
2,House,2024,625.0,6 ogilvie court,cranbourne east,3977,4,2,-38.1178309,145.2940378,212031558,Greater Melbourne
2,House,2024,575.0,5 maradona boulevard,deanside,3336,4,2,-37.72286830000001,144.7102728,213041574,Greater Melbourne
2,Unit,2024,750.0,a915/627 victoria street,abbotsford,3067,2,1,-37.810674,145.0086713,206071139,Greater Melbourne
1,House,2024,825.0,5 union street,prahran,3181,3,1,-37.8533968,144.9841657,206061136,Greater Melbourne
1,Unit,2024,510.0,1006/65 coventry street,southbank,3006,1,1,-37.8297229,144.9681757,206041509,Greater Melbourne
2,House,2024,650.0,25 briscola crescent,wollert,3750,4,2,-37.6040557,145.002239,209041437,Greater Melbourne
1,Unit,2024,890.0,6001/35 queensbridge street,southbank,3006,2,2,-37.8230583,144.9614033,206041508,Greater Melbourne
1,House,2024,820.0,70a darnley street,braybrook,3019,4,4,-37.784703,144.8512534,213031347,Greater Melbourne
2,House,2024,540.0,52 criterion way,cranbourne east,3977,3,2,-38.1309246,145.3072155,212031558,Greater Melbourne
2,Unit,2024,1200.0,401/126 chapel street,st kilda,3182,3,3,-37.8690955,144.9904281,206051134,Greater Melbourne
1,Unit,2024,480.0,708/20 wardens walk,coburg,3058,1,1,-37.7385722,144.968578,206011497,Greater Melbourne
1,Unit,2024,640.0,121 kerr street,fitzroy,3065,1,1,-37.7966911,144.9797521,206071142,Greater Melbourne
2,House,2024,510.0,18 dune street,point cook,3030,4,2,-37.9162501,144.777622,213051464,Greater Melbourne
1,House,2024,630.0,10 alfred street,beaumaris,3193,3,1,-37.9766408,145.0502438,208011168,Greater Melbourne
2,Unit,2024,530.0,34/777 bell street,preston,3072,2,1,-37.74331129999999,144.9823492,209021429,Greater Melbourne
0,Unit,2024,675.0,2408/5 sutherland street,melbourne,3000,2,1,-37.811416,144.9608504,206041504,Greater Melbourne
1,Unit,2024,1100.0,1010/35 spring street,melbourne,3000,2,2,-37.8141725,144.9740049,206041503,Greater Melbourne
1,House,2024,510.0,3 pauls lane,hastings,3915,3,2,-38.2971746,145.1780528,214021379,Greater Melbourne
1,Unit,2024,350.0,6/151 ballantyne street,thornbury,3071,1,1,-37.7574578,144.9889419,206021112,Greater Melbourne
1,Unit,2024,470.0,1/12 gattinara drive,frankston,3199,2,1,-38.1658034,145.1570125,214011371,Greater Melbourne
1,Unit,2024,650.0,911/25 therry street,melbourne,3000,2,1,-37.8069564,144.9610982,206041504,Greater Melbourne
2,House,2024,460.0,53 brightvale boulevard,wyndham vale,3024,3,2,-37.8654327,144.6152094,213051589,Greater Melbourne
0,Unit,2024,400.0,3s07 (1.307)/570 lygon st,carlton,3053,1,1,-37.7935594,144.9690564,206041117,Greater Melbourne
2,House,2024,530.0,18 bagshot circuit,mernda,3754,3,2,-37.6049793,145.0655471,209041532,Greater Melbourne
0,Unit,2024,270.0,314/1 queens avenue,hawthorn,3122,1,1,-37.8226997,145.0429826,207011520,Greater Melbourne
1,House,2024,530.0,63a springleaf road,tarneit,3029,3,2,-37.8573178,144.6608192,213051585,Greater Melbourne
2,House,2024,560.0,2/32-34 wackett street,laverton,3028,3,2,-37.853993,144.770397,213051363,Greater Melbourne
0,Unit,2024,525.0,4/12 sherwood avenue,ringwood east,3135,2,1,-37.8154638,145.2427558,211031267,Greater Melbourne
1,Unit,2024,580.0,2/3 ferguson street,williamstown,3016,2,1,-37.8595875,144.9013969,213021346,Greater Melbourne
1,Unit,2024,565.0,58/93-103 high street,preston,3072,2,2,-37.749226,145.0019476,209021428,Greater Melbourne
1,Unit,2024,1000.0,602/182 wellington parade,east melbourne,3002,2,2,-37.8160677,144.9840532,206041119,Greater Melbourne
0,House,2024,500.0,7 henry street,seddon,3011,2,1,-37.8052118,144.8883584,213031350,Greater Melbourne
2,House,2024,1050.0,464a whitehorse road,surrey hills,3127,4,2,-37.8146132,145.0944989,207011155,Greater Melbourne
2,House,2024,1100.0,10 mason street,mount eliza,3930,3,2,-38.202895,145.0991261,214021381,Greater Melbourne
1,Unit,2024,450.0,p19/3-5 st kilda road,st kilda,3182,1,1,-37.8589053,144.9833327,206051513,Greater Melbourne
2,House,2024,615.0,26 devoe road,point cook,3030,4,2,-37.8878233,144.7118126,213051368,Greater Melbourne
2,Unit,2024,1000.0,2403/50 lorimer street,docklands,3008,2,2,-37.8245639,144.9475365,206041118,Greater Melbourne
1,Unit,2024,400.0,3/34 linacre drive,bundoora,3083,2,1,-37.6844504,145.0762591,209041216,Greater Melbourne
2,House,2024,450.0,3 osprey street,werribee,3030,3,1,-37.8868026,144.6683865,213051467,Greater Melbourne
2,House,2024,490.0,185 alfred road,strathtulloh,3338,4,2,-37.7210919,144.6014638,213041572,Greater Melbourne
1,Unit,2024,660.0,1/36 lansdowne road,st kilda east,3183,2,1,-37.8641319,145.0061428,206051134,Greater Melbourne
2,House,2024,500.0,16 kathleen cres,hoppers crossing,3029,4,2,-37.8747663,144.6664068,213051362,Greater Melbourne
2,House,2024,650.0,16 gobelins walk,clyde north,3978,4,2,-38.0969991,145.3782734,212031556,Greater Melbourne
1,Unit,2024,780.0,3101e/888 collins street,docklands,3008,2,2,-37.8204734,144.9425146,206041118,Greater Melbourne
2,House,2024,630.0,34 mullein bend,cranbourne north,3977,4,2,-38.0781148,145.3198763,212031559,Greater Melbourne
2,Townhouse,2024,1100.0,90 geographe street,docklands,3008,3,2,-37.8195823,144.9454699,206041118,Greater Melbourne
1,Townhouse,2024,700.0,4 broughton avenue,reservoir,3073,3,1,-37.723862,145.000885,209021526,Greater Melbourne
0,House,2024,510.0,6 peel court,gladstone park,3043,3,1,-37.6817816,144.8917672,210051245,Greater Melbourne
0,Unit,2024,300.0,13/17 macquarie street,prahran,3181,1,1,-37.8505244,144.9921975,206061136,Greater Melbourne
