,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
178,1,House,2024,370.0,2/1314 mair street,lake wendouree,3350.0,2,1,-37.5574805,143.8402744,201011002,Rest of Vic.,2.21896
179,1,House,2024,390.0,20 tilton street,shepparton,3630.0,3,1,-36.361154,145.3965945,216031416,Rest of Vic.,3.34122
180,2,Unit,2024,430.0,2/4 eagle point road,eagle point,3878.0,3,1,-37.8925674,147.6792507,205021086,Rest of Vic.,125.86726
181,2,House,2024,600.0,30 blackwood road,lara,3212.0,4,2,-38.0136865,144.3848115,203021043,Rest of Vic.,21.14437
182,2,House,2024,410.0,119 bluff road,st leonards,3223.0,3,1,-38.1900386,144.7083446,203031051,Rest of Vic.,32.75686
183,3,House,2024,460.0,39 church street,maffra,3860.0,4,1,-37.9656003,146.9785636,205051101,Rest of Vic.,61.58928
184,2,House,2024,540.0,7 ackerman street,armstrong creek,3217.0,4,2,-38.2247316,144.3495687,203021485,Rest of Vic.,9.84637
185,2,House,2024,420.0,2/61 gillies street south,alfredton,3350.0,3,2,-37.5614175,143.8173928,201011001,Rest of Vic.,4.49282
186,0,Unit,2024,240.0,2/47 tarwin street,morwell,3840.0,1,1,-38.2408076,146.3971905,205041096,Rest of Vic.,14.65911
187,4,House,2024,500.0,45 stanley street,toora,3962.0,1,1,-38.6647862,146.3241998,205031087,Rest of Vic.,102.53795
188,1,House,2024,450.0,4 howe st,mooroopna,3629.0,2,1,-36.3987045,145.3530756,216031415,Rest of Vic.,5.23083
189,0,House,2024,380.0,301 archer,shepparton,3630.0,3,1,-36.4018344,145.4093487,216031594,Rest of Vic.,3.24965
190,2,House,2024,520.0,60 eagle road,armstrong creek,3217.0,4,2,-38.2395658,144.3754475,203031489,Rest of Vic.,12.34197
191,1,Unit,2024,625.0,18/367 high street,belmont,3216.0,3,2,-38.1879425,144.3297157,203021037,Rest of Vic.,6.069439999999999
192,1,House,2024,360.0,311 elsworth street,mount pleasant,3350.0,3,2,-37.5822096,143.8562074,201011483,Rest of Vic.,3.54955
193,2,House,2024,360.0,14 russell street,benalla,3672.0,2,1,-36.5447954,145.9685627,204021063,Rest of Vic.,62.0519
194,0,Unit,2024,345.0,2/59 church street,lakes entrance,3909.0,2,1,-37.87788219999999,147.9927912,205021084,Rest of Vic.,154.16156
195,0,House,2024,330.0,198 the boulevard,paradise beach,3851.0,2,1,-38.1954676,147.4192668,205051100,Rest of Vic.,82.6037
196,1,Unit,2024,290.0,2/337 gray street,hamilton,3300.0,2,1,-37.7366176,142.0342546,217011421,Rest of Vic.,99.64028
197,2,House,2024,515.0,78 eaglebay road,armstrong creek,3217.0,4,2,-38.229584,144.3647156,203031489,Rest of Vic.,10.05032
198,2,Townhouse,2024,770.0,7 lillium lane,torquay,3228.0,4,3,-38.3071396,144.3330326,203031053,Rest of Vic.,20.40944
199,0,House,2024,425.0,3 ellen avenue,seaspray,3851.0,3,1,-38.3700257,147.1879621,205051100,Rest of Vic.,76.87180000000001
200,2,House,2024,440.0,28 yorkdale boulevard,winter valley,3358.0,3,2,-37.5805876,143.7998889,201011006,Rest of Vic.,7.909890000000001
201,2,House,2024,470.0,1/12 lauriston street,kyneton,3444.0,2,1,-37.2479659,144.4550485,202021030,Rest of Vic.,68.69810000000001
