,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,dist_to_city,dist_to_education,dist_to_parks_and_gardens,dist_to_train_station,dist_to_shopping,dist_to_healthcare,SA2_CODE21,SA2_NAME21,GCC_NAME21
63,63,63,63,0,House,2024,350.0,17 olympic parade,kangaroo flat,3555.0,3,1,-36.7948936,144.2376678,7.492100000000001,0.45297,1.0346300000000002,1.14826,0.74282,5.3453,202011022,Kangaroo Flat - Golden Square,Rest of Vic.
64,64,64,64,2,House,2024,480.0,22 coast avenue,paynesville,3880.0,4,2,-37.9077356,147.7081304,128.49665,1.82267,3.21073,14.24916,3.0733200000000003,3.23042,205021086,Paynesville,Rest of Vic.
65,65,65,65,2,House,2024,695.0,139 dyar ave,mildura,3500.0,4,2,-34.1718827,142.138593,3.75843,0.7274299999999999,1.17891,20.62971,2.85338,1.99341,215021469,Mildura - North,Rest of Vic.
66,66,66,66,1,House,2024,400.0,11 exton crescent,benalla,3672.0,2,1,-36.562473,145.9637933,64.22874,0.7682899999999999,0.86023,4.233,3.5732600000000003,4.49208,204021063,Benalla,Rest of Vic.
67,67,67,67,3,House,2024,850.0,116 morpung avenue,irymple,3498.0,6,3,-34.2291467,142.1973801,7.2465,2.3121,2.85522,11.61372,4.18399,3.95526,215021395,Irymple,Rest of Vic.
68,68,68,68,0,House,2024,425.0,38 thomson bvd,st leonards,3223.0,3,1,-38.1728844,144.7101723,33.408550000000005,0.5791000000000001,0.87374,75.59006,0.72877,13.0263,203031051,Portarlington,Rest of Vic.
69,69,69,69,0,Unit,2024,195.0,unit 14/46 tocumwal rd,numurkah,3636.0,1,1,-36.0840483,145.4444563,35.1417,0.3005899999999999,1.2051500000000002,36.66252,0.55947,1.94679,216021413,Numurkah,Rest of Vic.
70,70,70,70,3,House,2024,650.0,62 magpie street,mount pleasant,3350.0,4,2,-37.5776775,143.8635136,2.21463,0.95551,1.01393,2.95154,1.8172,3.65802,201011483,Canadian - Mount Clear,Rest of Vic.
71,71,71,71,0,House,2024,390.0,2 koonwarra-inverloch road,koonwarra,3954.0,1,1,-38.5471151,145.946772,80.55628999999999,0.31654,0.32689,70.85083,8.175279999999999,7.32906,205031090,Leongatha,Rest of Vic.
72,72,72,72,2,House,2024,545.0,51 moruya drive,grovedale,3216.0,3,1,-38.2050455,144.3183242,8.596950000000001,1.42352,0.33531,2.09785,1.61065,1.82191,203021487,Grovedale - Mount Duneed,Rest of Vic.
73,73,73,73,2,House,2024,580.0,18 windsor avenue,shepparton,3630.0,4,2,-36.356942,145.37203,5.24515,1.88001,0.52061,6.25704,4.75174,4.44407,216031416,Shepparton - North,Rest of Vic.
74,74,74,74,1,House,2024,430.0,20 carpenter street,quarry hill,3550.0,4,1,-36.7713127,144.2854898,1.65138,1.0496800000000002,1.2965799999999998,0.8042,1.23105,1.0463,202011021,Flora Hill - Spring Gully,Rest of Vic.
75,75,75,75,1,Townhouse,2024,470.0,71b fairfax street,portarlington,3223.0,3,2,-38.1202592,144.6640127,34.76464,1.09995,1.5746600000000002,76.94616,1.41694,11.30772,203031051,Portarlington,Rest of Vic.
76,76,76,76,7,House,2024,750.0,43 saywell street,north geelong,3215.0,4,2,-38.1285971,144.3485296,3.11397,1.28376,0.77151,1.01645,1.2621300000000002,0.46032,203021047,North Geelong - Bell Park,Rest of Vic.
77,77,77,77,2,House,2024,510.0,2b duxbury drive,traralgon,3844.0,3,2,-38.1830936,146.5222198,2.93583,0.6375299999999999,1.15286,3.66603,2.16752,3.12859,205041494,Traralgon - West,Rest of Vic.
