,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
180,2,House,2024,650.0,3 ovens place,clyde north,3978.0,4,2,-38.1108098,145.3287992,212031556,Greater Melbourne,53.02022
181,11,House,2024,1220.0,82 creedmore drive,rye,3941.0,4,2,-38.38362800000001,144.8212013,214021383,Greater Melbourne,55.66375
182,2,Townhouse,2024,780.0,6/9 mccoll court,brunswick west,3055.0,3,2,-37.7552071,144.9366208,206011107,Greater Melbourne,8.20005
183,2,Unit,2024,950.0,205/495 glenhuntly road,elsternwick,3185.0,2,2,-37.8851117,145.0089448,208021179,Greater Melbourne,9.76222
184,3,House,2024,725.0,3/26 wyalong street,albion,3020.0,4,3,-37.7773765,144.8167403,213011328,Greater Melbourne,15.726270000000001
185,1,Unit,2024,550.0,5/47 evansdale road,hawthorn,3122.0,2,1,-37.8237188,145.0232949,207011520,Greater Melbourne,7.5891
186,2,House,2024,460.0,16 thornbill drive,werribee,3030.0,3,1,-37.8895339,144.6695402,213051467,Greater Melbourne,31.27802
187,1,Unit,2024,490.0,504a/2a duffy street,essendon north,3041.0,1,1,-37.7401486,144.9000425,206031501,Greater Melbourne,12.03338
188,1,Unit,2024,495.0,5/176 liardet street,port melbourne,3207.0,1,1,-37.8373807,144.940679,206051130,Greater Melbourne,4.57188
189,2,House,2024,650.0,35 chisholm crescent,narre warren south,3805.0,3,2,-38.0584843,145.2834018,212031458,Greater Melbourne,46.21445
190,0,House,2024,560.0,5 bent street,kensington,3031.0,2,1,-37.7963923,144.9349855,206041121,Greater Melbourne,4.26088
191,1,Unit,2024,440.0,747/18 albert street,footscray,3011.0,1,1,-37.8016476,144.8977057,213031348,Greater Melbourne,6.81286
192,5,House,2024,830.0,2314 epping-kilmore road,upper plenty,3756.0,4,2,-37.4136987,145.0217126,209041224,Greater Melbourne,55.971309999999995
193,2,Townhouse,2024,650.0,5/18-20 ibbottson street,watsonia,3087.0,3,2,-37.70987239999999,145.0844928,209011204,Greater Melbourne,20.4697
194,1,Unit,2024,920.0,9/30 willansby avenue,brighton,3186.0,3,2,-37.90732420000001,145.0037361,208011169,Greater Melbourne,11.68619
195,1,Unit,2024,850.0,501/815 bourke street,docklands,3008.0,2,2,-37.8199317,144.9444519,206041118,Greater Melbourne,2.30808
196,1,Unit,2024,430.0,5/118 holden street,fitzroy north,3068.0,1,1,-37.7798164,144.9836354,206071143,Greater Melbourne,5.09908
